Time,Team 1,Score 1,Team 2,Score 2,Outcome Only,Tournament,Number of Players
9/19/2023 19:10:00,Red for Filth,1,Limoncellhoes,5,,,
9/19/2023 19:10:00,The Grey Agenda,1,Gay Grimaces,5,,,
9/19/2023 19:30:00,Booooo Bs,2,Coochie Monsters,3,,,
9/19/2023 19:30:00,Gay Grimaces,2,Red for Filth,2,,,
9/19/2023 19:50:00,Booooo Bs,4,Limoncellhoes,0,,,
9/19/2023 19:50:00,The Grey Agenda,1,Coochie Monsters,3,,,
9/26/2023 19:10:00,Gay Grimaces,0,Booooo Bs,6,,,
9/26/2023 19:10:00,The Grey Agenda,3,Red for Filth,2,,,
9/26/2023 19:30:00,Gay Grimaces,0,Coochie Monsters,5,,,
9/26/2023 19:30:00,Limoncellhoes,2,The Grey Agenda,1,,,
9/26/2023 19:50:00,Booooo Bs,3,Red for Filth,2,,,
9/26/2023 19:50:00,Coochie Monsters,3,Limoncellhoes,3,,,
10/3/2023 19:10:00,Limoncellhoes,1,Gay Grimaces,3,,,
10/3/2023 19:10:00,Red for Filth,2,Coochie Monsters,2,,,
10/3/2023 19:30:00,Coochie Monsters,5,The Grey Agenda,0,,,
10/3/2023 19:30:00,Limoncellhoes,2,Booooo Bs,2,,,
10/3/2023 19:50:00,Booooo Bs,4,The Grey Agenda,0,,,
10/3/2023 19:50:00,Red for Filth,1,Gay Grimaces,3,,,
10/10/2023 19:10:00,Coochie Monsters,4,Gay Grimaces,0,,,
10/10/2023 19:10:00,The Grey Agenda,1,Limoncellhoes,3,,,
10/10/2023 19:30:00,Booooo Bs,0,Coochie Monsters,4,,,
10/10/2023 19:30:00,Limoncellhoes,4,Red for Filth,2,,,
10/10/2023 19:50:00,Gay Grimaces,1,The Grey Agenda,3,,,
10/10/2023 19:50:00,Red for Filth,0,Booooo Bs,3,,,
10/17/2023 19:10:00,Booooo Bs,1,Gay Grimaces,3,,,
10/17/2023 19:10:00,Red for Filth,1,The Grey Agenda,4,,,
10/17/2023 19:30:00,Coochie Monsters,3,Red for Filth,1,,,
10/17/2023 19:30:00,Gay Grimaces,2,Limoncellhoes,1,,,
10/17/2023 19:50:00,Limoncellhoes,2,Coochie Monsters,3,,,
10/17/2023 19:50:00,The Grey Agenda,0,Booooo Bs,6,,,
10/24/2023 19:10:00,Limoncellhoes,1,Booooo Bs,4,,,
10/24/2023 19:10:00,The Grey Agenda,4,Gay Grimaces,1,,,
10/24/2023 19:30:00,Coochie Monsters,3,Booooo Bs,2,,,
10/24/2023 19:30:00,Red for Filth,2,Limoncellhoes,3,,,
10/24/2023 19:50:00,Coochie Monsters,3,The Grey Agenda,2,,,
10/24/2023 19:50:00,Gay Grimaces,3,Red for Filth,1,,,
11/7/2023 19:10:00,Gay Grimaces,4,The Grey Agenda,3,,1,
11/7/2023 19:10:00,Limoncellhoes,5,Red for Filth,1,,1,
11/7/2023 19:30:00,Booooo Bs,1,Limoncellhoes,3,,1,
11/7/2023 19:30:00,Coochie Monsters,1,Gay Grimaces,2,,1,
11/7/2023 19:50:00,Gay Grimaces,2,Limoncellhoes,4,,1,
1/31/2024 20:30:00,Naughty Nympho Navy,2,Green Beans,3,,,
1/31/2024 20:50:00,H2-Ho,3,Mommy’s DisappointMints,1,,,
1/31/2024 20:50:00,Stupid Cupids,4,The Orangynas,1,,,
1/31/2024 21:10:00,"Be Gay, Do Lime",5,blU-Haul,2,,,
1/31/2024 21:10:00,Flint Flickers,3,Violent Violets,4,,,
2/7/2024 19:50:00,"Be Gay, Do Lime",1,Stupid Cupids,4,,,
2/7/2024 19:50:00,Naughty Nympho Navy,3,H2-Ho,4,,,
2/7/2024 20:10:00,Green Beans,3,Flint Flickers,3,,,
2/7/2024 20:10:00,The Orangynas,4,Violent Violets,2,,,
2/7/2024 20:30:00,Mommy’s DisappointMints,4,Naughty Nympho Navy,3,,,
2/7/2024 20:30:00,Stupid Cupids,1,blU-Haul,3,,,
2/7/2024 20:50:00,The Orangynas,2,Green Beans,3,,,
2/7/2024 20:50:00,Violent Violets,6,"Be Gay, Do Lime",2,,,
2/7/2024 21:10:00,blU-Haul,1,H2-Ho,4,,,
2/7/2024 21:10:00,Flint Flickers,4,Mommy’s DisappointMints,3,,,
2/14/2024 19:50:00,Flint Flickers,4,Naughty Nympho Navy,2,,,
2/14/2024 19:50:00,Stupid Cupids,4,Green Beans,1,,,
2/14/2024 20:10:00,"Be Gay, Do Lime",2,Mommy’s DisappointMints,3,,,
2/14/2024 20:10:00,The Orangynas,1,H2-Ho,4,,,
2/14/2024 20:30:00,blU-Haul,2,Naughty Nympho Navy,2,,,
2/14/2024 20:30:00,Violent Violets,4,Stupid Cupids,2,,,
2/14/2024 20:50:00,Green Beans,3,"Be Gay, Do Lime",3,,,
2/14/2024 20:50:00,H2-Ho,7,Flint Flickers,2,,,
2/14/2024 21:10:00,Mommy’s DisappointMints,4,The Orangynas,2,,,
2/14/2024 21:10:00,Violent Violets,3,blU-Haul,2,,,
2/21/2024 19:50:00,Green Beans,2,blU-Haul,3,,,
2/21/2024 19:50:00,The Orangynas,0,Flint Flickers,5,,,
2/21/2024 20:10:00,H2-Ho,4,"Be Gay, Do Lime",1,,,
2/21/2024 20:10:00,Mommy’s DisappointMints,3,Stupid Cupids,2,,,
