number,value,datetime_start,datetime_complete,duration,params_beta,params_draw,params_sigma,params_tau,state
0,0.662099922680392,2025-11-15 16:46:32.210021,2025-11-15 16:46:38.143723,0 days 00:00:05.933702,409.0837979425012,0.1510792846374349,251.07185343437123,3.1672739706856383,COMPLETE
1,0.7040798055344641,2025-11-15 16:46:38.143864,2025-11-15 16:46:44.028536,0 days 00:00:05.884672,304.87821049341295,0.15270422226944588,407.99354883168087,2.737238013714924,COMPLETE
2,0.6743537848418505,2025-11-15 16:46:44.028659,2025-11-15 16:46:49.857313,0 days 00:00:05.828654,484.759453082488,0.12309792035150832,455.50382764898796,2.9541793865543107,COMPLETE
3,0.6730997212673632,2025-11-15 16:46:49.857437,2025-11-15 16:46:55.789098,0 days 00:00:05.931661,436.0934884213995,0.1290217047088575,382.25678271256965,2.9873353461077192,COMPLETE
4,0.7241885646200974,2025-11-15 16:46:55.789215,2025-11-15 16:47:01.630449,0 days 00:00:05.841234,227.71175631391824,0.16065189315859385,334.15551074874924,4.06087099096633,COMPLETE
5,0.6664880851244811,2025-11-15 16:47:01.630568,2025-11-15 16:47:07.475330,0 days 00:00:05.844762,407.0824894927632,0.11009228219059429,297.3029290403659,2.2010166443812706,COMPLETE
6,0.6843480630343026,2025-11-15 16:47:07.475451,2025-11-15 16:47:13.400055,0 days 00:00:05.924604,417.81023872494177,0.15141104606536934,448.8373605286724,3.059206873936411,COMPLETE
7,0.6678788478066251,2025-11-15 16:47:13.400171,2025-11-15 16:47:19.203942,0 days 00:00:05.803771,392.9810917763696,0.11671946491133484,284.4896325783656,4.317673038829935,COMPLETE
8,0.7180572061271022,2025-11-15 16:47:19.204070,2025-11-15 16:47:25.128981,0 days 00:00:05.924911,266.4697834198256,0.14313080072585393,413.90603788804236,3.8780292563155605,COMPLETE
9,0.6550377385712809,2025-11-15 16:47:25.129099,2025-11-15 16:47:30.890376,0 days 00:00:05.761277,499.34904945310336,0.16327669036289127,258.34456151309024,3.179042014411137,COMPLETE
10,0.6515314951002437,2025-11-15 16:47:30.890491,2025-11-15 16:47:36.771607,0 days 00:00:05.881116,513.0938776789997,0.07709440255267033,208.53544205363556,3.5875143953298494,COMPLETE
11,0.6513250775247422,2025-11-15 16:47:36.771726,2025-11-15 16:47:42.674052,0 days 00:00:05.902326,516.7810720454006,0.07594847642826906,202.42845832202852,3.584430577718939,COMPLETE
12,0.651363992194796,2025-11-15 16:47:42.674177,2025-11-15 16:47:48.676487,0 days 00:00:06.002310,518.6592128950825,0.07548626035474619,206.8303161079777,3.6854684806854268,COMPLETE
13,0.65353251193253,2025-11-15 16:47:48.676605,2025-11-15 16:47:54.505772,0 days 00:00:05.829167,460.49527330438764,0.07645219875108047,200.52852872420658,4.5831965207886585,COMPLETE
14,0.6691543256863249,2025-11-15 16:47:54.505891,2025-11-15 16:48:00.290652,0 days 00:00:05.784761,340.81416512443116,0.09508539804698861,237.54740432498778,3.5861788282491993,COMPLETE
15,0.6585760504571695,2025-11-15 16:48:00.290781,2025-11-15 16:48:06.133403,0 days 00:00:05.842622,520.046295129287,0.09636791641846307,329.0680437057068,3.550484966412648,COMPLETE
16,0.6548412041644891,2025-11-15 16:48:06.133522,2025-11-15 16:48:11.904854,0 days 00:00:05.771332,459.6565097890463,0.0889185798149045,225.6068583610641,3.9459856977889647,COMPLETE
17,0.6715830352683756,2025-11-15 16:48:11.904977,2025-11-15 16:48:17.662554,0 days 00:00:05.757577,352.79343626185164,0.08669819156694755,277.6620234814631,2.4180351224776917,COMPLETE
18,0.6618038208040102,2025-11-15 16:48:17.662684,2025-11-15 16:48:23.461234,0 days 00:00:05.798550,472.7673799257489,0.10475793513844284,319.38991800318786,3.473774664801889,COMPLETE
19,0.6791864953227634,2025-11-15 16:48:23.461351,2025-11-15 16:48:29.290355,0 days 00:00:05.829004,370.97575997390743,0.07493027276354854,360.9150410289716,4.20836355836392,COMPLETE
20,0.6557059527710706,2025-11-15 16:48:29.290475,2025-11-15 16:48:35.343182,0 days 00:00:06.052707,445.2581859523784,0.09096225506556802,224.6753038799846,3.7754057625918263,COMPLETE
21,0.6512070669200609,2025-11-15 16:48:35.343301,2025-11-15 16:48:41.518672,0 days 00:00:06.175371,520.4778393453421,0.0808973004290519,203.63022376622064,3.370953880804879,COMPLETE
22,0.652053329664431,2025-11-15 16:48:41.518876,2025-11-15 16:48:47.306622,0 days 00:00:05.787746,492.97414392385195,0.08101241291528705,205.8472509818184,3.3521815102725756,COMPLETE
23,0.6531758631080081,2025-11-15 16:48:47.306743,2025-11-15 16:48:53.102023,0 days 00:00:05.795280,520.3493180700931,0.10118778366700784,253.34311133019486,3.718087837999031,COMPLETE
24,0.6531390374762751,2025-11-15 16:48:53.102233,2025-11-15 16:48:58.956117,0 days 00:00:05.853884,486.6855094798708,0.08232455584362222,227.97744968681906,2.6555460579955517,COMPLETE
25,0.6549868779535053,2025-11-15 16:48:58.956235,2025-11-15 16:49:04.726514,0 days 00:00:05.770279,500.2210538556982,0.08526204972778327,267.40038368724544,3.2880661438595253,COMPLETE
26,0.6549279741645945,2025-11-15 16:49:04.726636,2025-11-15 16:49:10.553627,0 days 00:00:05.826991,432.74290182809165,0.07429009136587324,200.07869408034153,4.104138216653535,COMPLETE
27,0.656135224708065,2025-11-15 16:49:10.553760,2025-11-15 16:49:16.436635,0 days 00:00:05.882875,467.1677293380728,0.133057732290344,243.09795464019106,4.44262780061003,COMPLETE
28,0.6565266009175401,2025-11-15 16:49:16.436766,2025-11-15 16:49:22.311176,0 days 00:00:05.874410,520.3130069006625,0.107855869503622,302.05255207303946,3.3870330345178226,COMPLETE
29,0.6530545976964055,2025-11-15 16:49:22.311295,2025-11-15 16:49:28.203701,0 days 00:00:05.892406,481.9100023164353,0.09787756821883076,216.99210715798273,3.7365301711967165,COMPLETE
30,0.6565846562661849,2025-11-15 16:49:28.203815,2025-11-15 16:49:34.040603,0 days 00:00:05.836788,447.8491874208928,0.09273172396942168,241.7511183910873,2.8454919116937925,COMPLETE
31,0.6522319936509424,2025-11-15 16:49:34.040715,2025-11-15 16:49:39.821699,0 days 00:00:05.780984,503.17739182669123,0.08062526057113904,220.27938880346224,3.600839433715034,COMPLETE
32,0.6517381002794246,2025-11-15 16:49:39.821816,2025-11-15 16:49:45.632465,0 days 00:00:05.810649,508.2102559378302,0.07395020441423118,213.003801662699,3.1362016655759493,COMPLETE
33,0.6544468399812746,2025-11-15 16:49:45.632590,2025-11-15 16:49:51.398864,0 days 00:00:05.766274,478.236505106957,0.0828684144460113,237.70093575065818,3.9045352293968625,COMPLETE
34,0.6777576668209286,2025-11-15 16:49:51.398977,2025-11-15 16:49:57.198398,0 days 00:00:05.799421,310.7829113872313,0.07932168799804797,260.8676690502387,3.255829989076538,COMPLETE
35,0.6516584892419315,2025-11-15 16:49:57.198531,2025-11-15 16:50:02.950758,0 days 00:00:05.752227,500.41768882842763,0.08942755066494892,200.18149114383573,3.4860863307803447,COMPLETE
