number,value,datetime_start,datetime_complete,duration,params_beta,params_sigma,state
0,0.6854691291819376,2025-11-14 23:04:47.769320,2025-11-14 23:04:48.040995,0 days 00:00:00.271675,395.9387363615092,314.9116702273354,COMPLETE
1,0.6793797681033046,2025-11-14 23:04:48.041136,2025-11-14 23:04:48.305825,0 days 00:00:00.264689,484.09363520543536,462.6366434042687,COMPLETE
2,0.6774829524328875,2025-11-14 23:04:48.305934,2025-11-14 23:04:48.574345,0 days 00:00:00.268411,207.20000685262647,667.9854848712821,COMPLETE
3,0.682541861428329,2025-11-14 23:04:48.574452,2025-11-14 23:04:48.851314,0 days 00:00:00.276862,493.0109758689104,365.878553085858,COMPLETE
4,0.6724353125505964,2025-11-14 23:04:48.851422,2025-11-14 23:04:49.119479,0 days 00:00:00.268057,533.0036227607311,774.8836122102231,COMPLETE
5,0.6828782811189535,2025-11-14 23:04:49.119590,2025-11-14 23:04:49.395242,0 days 00:00:00.275652,330.53736778266773,414.69036197472,COMPLETE
6,0.6759555438186854,2025-11-14 23:04:49.395354,2025-11-14 23:04:49.661922,0 days 00:00:00.266568,444.8590945707661,610.0777611032818,COMPLETE
7,0.6821076742021568,2025-11-14 23:04:49.662027,2025-11-14 23:04:49.930567,0 days 00:00:00.268540,363.0459404754375,422.150452874237,COMPLETE
8,0.6840687210885628,2025-11-14 23:04:49.930683,2025-11-14 23:04:50.203711,0 days 00:00:00.273028,67.43496277896841,501.84989918468585,COMPLETE
9,0.674093753967351,2025-11-14 23:04:50.203819,2025-11-14 23:04:50.471451,0 days 00:00:00.267632,536.6262429435029,663.6959729674244,COMPLETE
10,0.6720029359675074,2025-11-14 23:04:50.471556,2025-11-14 23:04:50.749953,0 days 00:00:00.278397,584.0265070501881,776.0945134738942,COMPLETE
11,0.6716667203821652,2025-11-14 23:04:50.750060,2025-11-14 23:04:51.018490,0 days 00:00:00.268430,591.1627168073244,798.8540114343937,COMPLETE
12,0.6716891343393443,2025-11-14 23:04:51.018596,2025-11-14 23:04:51.290886,0 days 00:00:00.272290,591.3580177896392,796.845902973616,COMPLETE
13,0.6905429790683372,2025-11-14 23:04:51.290998,2025-11-14 23:04:51.568910,0 days 00:00:00.277912,258.8163644061798,233.65039640483258,COMPLETE
14,0.6717311790254838,2025-11-14 23:04:51.569023,2025-11-14 23:04:51.842673,0 days 00:00:00.273650,594.4151916773606,791.4039173259287,COMPLETE
15,0.67576899447701,2025-11-14 23:04:51.842781,2025-11-14 23:04:52.144640,0 days 00:00:00.301859,594.8244387555695,565.0186062226015,COMPLETE
16,0.6742699842774278,2025-11-14 23:04:52.144789,2025-11-14 23:04:52.423598,0 days 00:00:00.278809,433.7654462328097,708.8245079146968,COMPLETE
17,0.6761334080677169,2025-11-14 23:04:52.423705,2025-11-14 23:04:52.698470,0 days 00:00:00.274765,265.58473018053826,704.7169247377076,COMPLETE
18,0.6813992867520727,2025-11-14 23:04:52.698576,2025-11-14 23:04:52.986942,0 days 00:00:00.288366,127.30346774860834,555.9290805505874,COMPLETE
19,0.6732218419450089,2025-11-14 23:04:52.987054,2025-11-14 23:04:53.265683,0 days 00:00:00.278629,525.7473292683062,722.1219156024478,COMPLETE
20,0.6759058607083391,2025-11-14 23:04:53.265789,2025-11-14 23:04:53.538659,0 days 00:00:00.272870,426.8216733515819,621.2968094811281,COMPLETE
21,0.6718890158110299,2025-11-14 23:04:53.538774,2025-11-14 23:04:53.820109,0 days 00:00:00.281335,567.6137361037028,795.9573584297345,COMPLETE
22,0.6722834295300856,2025-11-14 23:04:53.820221,2025-11-14 23:04:54.092917,0 days 00:00:00.272696,599.4155023043105,746.6709788108972,COMPLETE
23,0.6726684075664758,2025-11-14 23:04:54.093027,2025-11-14 23:04:54.365709,0 days 00:00:00.272682,481.51329756083305,793.5768084884285,COMPLETE
24,0.6738664593872683,2025-11-14 23:04:54.365822,2025-11-14 23:04:54.645952,0 days 00:00:00.280130,545.1539449661052,672.6600555214429,COMPLETE
25,0.6729309412462072,2025-11-14 23:04:54.646066,2025-11-14 23:04:54.919744,0 days 00:00:00.273678,520.2084214642771,745.6482958809763,COMPLETE
26,0.675582860636601,2025-11-14 23:04:54.919852,2025-11-14 23:04:55.200778,0 days 00:00:00.280926,474.09426727101356,614.4751742814002,COMPLETE
27,0.6726204858324082,2025-11-14 23:04:55.200892,2025-11-14 23:04:55.474742,0 days 00:00:00.273850,555.8010444496899,746.5836818871804,COMPLETE
28,0.6749561952119805,2025-11-14 23:04:55.474855,2025-11-14 23:04:55.747740,0 days 00:00:00.272885,396.41104803592907,689.7976859630235,COMPLETE
29,0.6872316426941755,2025-11-14 23:04:55.747843,2025-11-14 23:04:56.030351,0 days 00:00:00.282508,568.4720189582122,232.70196045030343,COMPLETE
30,0.6746994898218796,2025-11-14 23:04:56.030458,2025-11-14 23:04:56.303924,0 days 00:00:00.273466,510.4696936955142,642.669677142246,COMPLETE
31,0.6720577407329718,2025-11-14 23:04:56.304035,2025-11-14 23:04:56.577335,0 days 00:00:00.273300,560.150000227518,787.0025446544996,COMPLETE
