number,value,datetime_start,datetime_complete,duration,params_beta,params_sigma,state
0,0.7407470790105806,2025-11-14 22:41:32.802386,2025-11-14 22:41:33.064602,0 days 00:00:00.262216,209.30610504955965,247.87986259472308,COMPLETE
1,0.7234213298261218,2025-11-14 22:41:33.064737,2025-11-14 22:41:33.343246,0 days 00:00:00.278509,248.4860600913046,309.4319347517786,COMPLETE
2,0.7241600440334457,2025-11-14 22:41:33.343424,2025-11-14 22:41:33.611499,0 days 00:00:00.268075,125.422225267834,394.9939520297009,COMPLETE
3,0.7286153731319363,2025-11-14 22:41:33.611623,2025-11-14 22:41:33.883057,0 days 00:00:00.271434,252.44932260840463,269.11606378577414,COMPLETE
4,0.7067628961799911,2025-11-14 22:41:33.883173,2025-11-14 22:41:34.149033,0 days 00:00:00.265860,270.22383233810274,439.5348384209263,COMPLETE
5,0.737805970041793,2025-11-14 22:41:34.149146,2025-11-14 22:41:34.418517,0 days 00:00:00.269371,180.2388301256301,289.4543174894667,COMPLETE
6,0.7173696613397526,2025-11-14 22:41:34.418626,2025-11-14 22:41:34.690938,0 days 00:00:00.272312,231.04848647589606,370.86573379303405,COMPLETE
7,0.7345554695680364,2025-11-14 22:41:34.691050,2025-11-14 22:41:34.956660,0 days 00:00:00.265610,194.68708465574997,292.56268869759873,COMPLETE
8,0.7462568044803142,2025-11-14 22:41:34.956771,2025-11-14 22:41:35.226529,0 days 00:00:00.269758,63.30442790176374,325.7707913269524,COMPLETE
9,0.7110073277315254,2025-11-14 22:41:35.226629,2025-11-14 22:41:35.497829,0 days 00:00:00.271200,271.833885752668,393.2066554030935,COMPLETE
10,0.7051473555359528,2025-11-14 22:41:35.497939,2025-11-14 22:41:35.768991,0 days 00:00:00.271052,292.9006698000836,440.03938061412254,COMPLETE
11,0.7041727828200988,2025-11-14 22:41:35.769090,2025-11-14 22:41:36.038537,0 days 00:00:00.269447,296.0723185810331,449.5225047643307,COMPLETE
12,0.7042333591915536,2025-11-14 22:41:36.038640,2025-11-14 22:41:36.311020,0 days 00:00:00.272380,296.15911901761746,448.68579290567334,COMPLETE
13,0.7688230555478489,2025-11-14 22:41:36.311125,2025-11-14 22:41:36.583472,0 days 00:00:00.272347,148.36282862496878,214.02099850201358,COMPLETE
14,0.7043241744059963,2025-11-14 22:41:36.583584,2025-11-14 22:41:36.854931,0 days 00:00:00.271347,297.51786296771576,446.4182988858036,COMPLETE
15,0.7127619941455101,2025-11-14 22:41:36.855034,2025-11-14 22:41:37.124612,0 days 00:00:00.269578,297.6997505580309,352.09108592608396,COMPLETE
16,0.7129265868266699,2025-11-14 22:41:37.124724,2025-11-14 22:41:37.407612,0 days 00:00:00.282888,226.117976103471,412.01021163112364,COMPLETE
17,0.7195154073637474,2025-11-14 22:41:37.407722,2025-11-14 22:41:37.681882,0 days 00:00:00.274160,151.37099119135033,410.2987186407115,COMPLETE
18,0.7372032350933168,2025-11-14 22:41:37.681998,2025-11-14 22:41:37.950030,0 days 00:00:00.268032,89.91265233271481,348.3037835627448,COMPLETE
19,0.709023612641491,2025-11-14 22:41:37.950134,2025-11-14 22:41:38.224168,0 days 00:00:00.274034,266.9988130081361,417.5507981676866,COMPLETE
20,0.7175992743796371,2025-11-14 22:41:38.224273,2025-11-14 22:41:38.498761,0 days 00:00:00.274488,223.0318548229253,375.5403372838034,COMPLETE
21,0.7049590570676937,2025-11-14 22:41:38.498866,2025-11-14 22:41:38.774244,0 days 00:00:00.275378,285.60610493497904,448.31556601238935,COMPLETE
22,0.705684076077419,2025-11-14 22:41:38.774345,2025-11-14 22:41:39.047591,0 days 00:00:00.273246,299.74022324636024,427.7795745045405,COMPLETE
23,0.7076671714004622,2025-11-14 22:41:39.047706,2025-11-14 22:41:39.322497,0 days 00:00:00.274791,247.33924336037023,447.3236702035118,COMPLETE
24,0.7103150856957016,2025-11-14 22:41:39.322608,2025-11-14 22:41:39.598730,0 days 00:00:00.276122,275.6239755404912,396.94168980060124,COMPLETE
25,0.7082860897753069,2025-11-14 22:41:39.598847,2025-11-14 22:41:39.869929,0 days 00:00:00.271082,264.5370762063454,427.35345661707345,COMPLETE
26,0.715823989252455,2025-11-14 22:41:39.870041,2025-11-14 22:41:40.145857,0 days 00:00:00.275816,244.0418965648949,372.69798928391674,COMPLETE
27,0.7070784846772752,2025-11-14 22:41:40.145963,2025-11-14 22:41:40.422585,0 days 00:00:00.276622,280.3560197554177,427.7432007863252,COMPLETE
28,0.7152996875260419,2025-11-14 22:41:40.422699,2025-11-14 22:41:40.694367,0 days 00:00:00.271668,209.5160213493018,404.08236915125974,COMPLETE
29,0.7304630154163225,2025-11-14 22:41:40.694480,2025-11-14 22:41:40.968990,0 days 00:00:00.274510,285.9875639814277,213.6258168542931,COMPLETE
30,0.712949472222596,2025-11-14 22:41:40.969092,2025-11-14 22:41:41.245574,0 days 00:00:00.276482,260.2087527535619,384.4456988092691,COMPLETE
31,0.7054916918720587,2025-11-14 22:41:41.245679,2025-11-14 22:41:41.529522,0 days 00:00:00.283843,282.28888899000805,444.5843936060415,COMPLETE
32,0.7040562681617909,2025-11-14 22:41:41.529644,2025-11-14 22:41:41.815353,0 days 00:00:00.285709,298.97657864102376,448.6037617384243,COMPLETE
33,0.7058832313030216,2025-11-14 22:41:41.815469,2025-11-14 22:41:42.092553,0 days 00:00:00.277084,293.39471575502154,430.7548886613942,COMPLETE
34,0.7110975165250101,2025-11-14 22:41:42.092664,2025-11-14 22:41:42.378048,0 days 00:00:00.285384,239.58760150266136,418.60069716008127,COMPLETE
35,0.7331671278729702,2025-11-14 22:41:42.378283,2025-11-14 22:41:42.656564,0 days 00:00:00.278281,254.43851429490113,237.0609200552227,COMPLETE
36,0.7041194846830828,2025-11-14 22:41:42.656675,2025-11-14 22:41:42.933599,0 days 00:00:00.276924,298.87310217862,447.8854592184348,COMPLETE
37,0.7084410116404763,2025-11-14 22:41:42.933714,2025-11-14 22:41:43.212034,0 days 00:00:00.278320,258.40268850227835,430.58803686618535,COMPLETE
38,0.7096284658214242,2025-11-14 22:41:43.212151,2025-11-14 22:41:43.490171,0 days 00:00:00.278020,276.3848524771153,403.3843278787241,COMPLETE
39,0.7302245931876318,2025-11-14 22:41:43.490278,2025-11-14 22:41:43.766791,0 days 00:00:00.276513,154.49318157337248,345.46086095454797,COMPLETE
40,0.7617022779168615,2025-11-14 22:41:43.766898,2025-11-14 22:41:44.045119,0 days 00:00:00.278221,107.0682085438265,263.1878597067926,COMPLETE
41,0.7051878559909807,2025-11-14 22:41:44.045224,2025-11-14 22:41:44.322465,0 days 00:00:00.277241,295.0125403968105,437.7890237298195,COMPLETE
42,0.7052021045242252,2025-11-14 22:41:44.322578,2025-11-14 22:41:44.597971,0 days 00:00:00.275393,285.59648808932116,445.37475721323966,COMPLETE
43,0.7039796579962154,2025-11-14 22:41:44.598080,2025-11-14 22:41:44.875614,0 days 00:00:00.277534,299.2639337674929,449.34283411249584,COMPLETE
44,0.7086329178482518,2025-11-14 22:41:44.875724,2025-11-14 22:41:45.151224,0 days 00:00:00.275500,270.1736345663345,419.0754439611235,COMPLETE
45,0.7138119088563506,2025-11-14 22:41:45.151329,2025-11-14 22:41:45.430186,0 days 00:00:00.278857,179.9881853152579,435.9137985435879,COMPLETE
46,0.7165045681922527,2025-11-14 22:41:45.430292,2025-11-14 22:41:45.703459,0 days 00:00:00.273167,299.1886082302741,314.4033947643351,COMPLETE
47,0.7107743182713859,2025-11-14 22:41:45.703565,2025-11-14 22:41:45.981743,0 days 00:00:00.278178,282.74730298027544,386.02285477325955,COMPLETE
48,0.7057314103408121,2025-11-14 22:41:45.981856,2025-11-14 22:41:46.259978,0 days 00:00:00.278122,272.02328681506697,449.9633754000809,COMPLETE
49,0.7114298959239415,2025-11-14 22:41:46.260079,2025-11-14 22:41:46.538452,0 days 00:00:00.278373,237.33506103387361,417.1836276848741,COMPLETE
50,0.7126637052156354,2025-11-14 22:41:46.538558,2025-11-14 22:41:46.813059,0 days 00:00:00.274501,288.80205229326447,361.54232471549756,COMPLETE
