number,value,datetime_start,datetime_complete,duration,params_beta,params_sigma,state
0,0.6910323282851291,2025-11-14 22:59:10.168819,2025-11-14 22:59:10.433414,0 days 00:00:00.264595,209.30610504955965,247.87986259472308,COMPLETE
1,0.6883332930394921,2025-11-14 22:59:10.433545,2025-11-14 22:59:10.701009,0 days 00:00:00.267464,248.4860600913046,309.4319347517786,COMPLETE
2,0.6875216472658864,2025-11-14 22:59:10.701205,2025-11-14 22:59:10.970272,0 days 00:00:00.269067,125.422225267834,394.9939520297009,COMPLETE
3,0.6896157584653924,2025-11-14 22:59:10.970388,2025-11-14 22:59:11.245379,0 days 00:00:00.274991,252.44932260840463,269.11606378577414,COMPLETE
4,0.6830591658916917,2025-11-14 22:59:11.245494,2025-11-14 22:59:11.514873,0 days 00:00:00.269379,270.22383233810274,439.5348384209263,COMPLETE
5,0.6903757462350525,2025-11-14 22:59:11.514989,2025-11-14 22:59:11.788145,0 days 00:00:00.273156,180.2388301256301,289.4543174894667,COMPLETE
6,0.6864040357778424,2025-11-14 22:59:11.788254,2025-11-14 22:59:12.061940,0 days 00:00:00.273686,231.04848647589606,370.86573379303405,COMPLETE
7,0.6900061492069691,2025-11-14 22:59:12.062041,2025-11-14 22:59:12.331402,0 days 00:00:00.269361,194.68708465574997,292.56268869759873,COMPLETE
8,0.6909470180750278,2025-11-14 22:59:12.331514,2025-11-14 22:59:12.609042,0 days 00:00:00.277528,63.30442790176374,325.7707913269524,COMPLETE
9,0.6847246604101318,2025-11-14 22:59:12.609156,2025-11-14 22:59:12.883123,0 days 00:00:00.273967,271.833885752668,393.2066554030935,COMPLETE
10,0.682636872349774,2025-11-14 22:59:12.883233,2025-11-14 22:59:13.157940,0 days 00:00:00.274707,292.9006698000836,440.03938061412254,COMPLETE
11,0.6822548616587691,2025-11-14 22:59:13.158053,2025-11-14 22:59:13.430990,0 days 00:00:00.272937,296.0723185810331,449.5225047643307,COMPLETE
12,0.6822819994775181,2025-11-14 22:59:13.431102,2025-11-14 22:59:13.706904,0 days 00:00:00.275802,296.15911901761746,448.68579290567334,COMPLETE
13,0.6925149793183144,2025-11-14 22:59:13.707014,2025-11-14 22:59:13.986690,0 days 00:00:00.279676,148.36282862496878,214.02099850201358,COMPLETE
14,0.6823364733385799,2025-11-14 22:59:13.986803,2025-11-14 22:59:14.269307,0 days 00:00:00.282504,297.51786296771576,446.4182988858036,COMPLETE
15,0.6857549589472258,2025-11-14 22:59:14.269410,2025-11-14 22:59:14.557311,0 days 00:00:00.287901,297.6997505580309,352.09108592608396,COMPLETE
16,0.6849196827137964,2025-11-14 22:59:14.557430,2025-11-14 22:59:14.841107,0 days 00:00:00.283677,226.117976103471,412.01021163112364,COMPLETE
17,0.6864407311942707,2025-11-14 22:59:14.841224,2025-11-14 22:59:15.119115,0 days 00:00:00.277891,151.37099119135033,410.2987186407115,COMPLETE
18,0.6898799820959142,2025-11-14 22:59:15.119224,2025-11-14 22:59:15.395396,0 days 00:00:00.276172,89.91265233271481,348.3037835627448,COMPLETE
19,0.6839148358385685,2025-11-14 22:59:15.395503,2025-11-14 22:59:15.698112,0 days 00:00:00.302609,266.9988130081361,417.5507981676866,COMPLETE
20,0.686390674281487,2025-11-14 22:59:15.698233,2025-11-14 22:59:15.978980,0 days 00:00:00.280747,223.0318548229253,375.5403372838034,COMPLETE
21,0.682477000938349,2025-11-14 22:59:15.979095,2025-11-14 22:59:16.259457,0 days 00:00:00.280362,285.60610493497904,448.31556601238935,COMPLETE
22,0.6829465367181413,2025-11-14 22:59:16.259561,2025-11-14 22:59:16.536783,0 days 00:00:00.277222,299.74022324636024,427.7795745045405,COMPLETE
23,0.6831992097753965,2025-11-14 22:59:16.536898,2025-11-14 22:59:16.838788,0 days 00:00:00.301890,247.33924336037023,447.3236702035118,COMPLETE
24,0.6845115837766687,2025-11-14 22:59:16.838910,2025-11-14 22:59:17.117922,0 days 00:00:00.279012,275.6239755404912,396.94168980060124,COMPLETE
25,0.6836027223345603,2025-11-14 22:59:17.118034,2025-11-14 22:59:17.394134,0 days 00:00:00.276100,264.5370762063454,427.35345661707345,COMPLETE
26,0.686063283400919,2025-11-14 22:59:17.394241,2025-11-14 22:59:17.671974,0 days 00:00:00.277733,244.0418965648949,372.69798928391674,COMPLETE
27,0.6832957861865085,2025-11-14 22:59:17.672080,2025-11-14 22:59:17.950761,0 days 00:00:00.278681,280.3560197554177,427.7432007863252,COMPLETE
28,0.6855576025873485,2025-11-14 22:59:17.950868,2025-11-14 22:59:18.227333,0 days 00:00:00.276465,209.5160213493018,404.08236915125974,COMPLETE
29,0.6906226368494208,2025-11-14 22:59:18.227438,2025-11-14 22:59:18.507690,0 days 00:00:00.280252,285.9875639814277,213.6258168542931,COMPLETE
30,0.6852852774044257,2025-11-14 22:59:18.507806,2025-11-14 22:59:18.791502,0 days 00:00:00.283696,260.2087527535619,384.4456988092691,COMPLETE
31,0.6826648957793847,2025-11-14 22:59:18.791632,2025-11-14 22:59:19.071601,0 days 00:00:00.279969,282.28888899000805,444.5843936060415,COMPLETE
32,0.6822367729168278,2025-11-14 22:59:19.071711,2025-11-14 22:59:19.347177,0 days 00:00:00.275466,298.97657864102376,448.6037617384243,COMPLETE
