number,value,datetime_start,datetime_complete,duration,params_beta,params_draw,params_sigma,params_tau,state
0,0.6951789516063709,2025-11-15 16:46:12.711526,2025-11-15 16:46:13.001449,0 days 00:00:00.289923,182.94783613864422,0.1510792846374349,251.07185343437123,3.1672739706856383,COMPLETE
1,0.7522145819945469,2025-11-15 16:46:13.001608,2025-11-15 16:46:13.287166,0 days 00:00:00.285558,136.3456807043522,0.15270422226944588,407.99354883168087,2.737238013714924,COMPLETE
2,0.7132237907036997,2025-11-15 16:46:13.287299,2025-11-15 16:46:13.575240,0 days 00:00:00.287941,216.7910179656126,0.12309792035150832,455.50382764898796,2.9541793865543107,COMPLETE
3,0.7126215815668332,2025-11-15 16:46:13.575365,2025-11-15 16:46:13.881668,0 days 00:00:00.306303,195.02693693105334,0.1290217047088575,382.25678271256965,2.9873353461077192,COMPLETE
4,0.7743239769802532,2025-11-15 16:46:13.881787,2025-11-15 16:46:14.169366,0 days 00:00:00.287579,101.83579327875762,0.16065189315859385,334.15551074874924,4.06087099096633,COMPLETE
5,0.7029284385260613,2025-11-15 16:46:14.169484,2025-11-15 16:46:14.467205,0 days 00:00:00.297721,182.05282379113245,0.11009228219059429,297.3029290403659,2.2010166443812706,COMPLETE
6,0.7281352892769263,2025-11-15 16:46:14.467317,2025-11-15 16:46:14.754184,0 days 00:00:00.286867,186.85041909687695,0.15141104606536934,448.8373605286724,3.059206873936411,COMPLETE
7,0.7046702648854103,2025-11-15 16:46:14.754303,2025-11-15 16:46:15.042422,0 days 00:00:00.288119,175.7464870168092,0.11671946491133484,284.4896325783656,4.317673038829935,COMPLETE
8,0.7633254432541595,2025-11-15 16:46:15.042540,2025-11-15 16:46:15.338200,0 days 00:00:00.295660,119.16890993527527,0.14313080072585393,413.90603788804236,3.8780292563155605,COMPLETE
9,0.6785670425603376,2025-11-15 16:46:15.338323,2025-11-15 16:46:15.629587,0 days 00:00:00.291264,223.31568381540865,0.16327669036289127,258.34456151309024,3.179042014411137,COMPLETE
10,0.6646775350254269,2025-11-15 16:46:15.629718,2025-11-15 16:46:15.929593,0 days 00:00:00.299875,229.462557865841,0.07709440255267033,208.53544205363556,3.5875143953298494,COMPLETE
11,0.6633175048301881,2025-11-15 16:46:15.929716,2025-11-15 16:46:16.219214,0 days 00:00:00.289498,231.11152131574642,0.07594847642826906,202.42845832202852,3.584430577718939,COMPLETE
12,0.6637536223346986,2025-11-15 16:46:16.219326,2025-11-15 16:46:16.508644,0 days 00:00:00.289318,231.95145143798803,0.07548626035474619,206.8303161079777,3.6854684806854268,COMPLETE
13,0.6708234375441956,2025-11-15 16:46:16.508762,2025-11-15 16:46:16.809133,0 days 00:00:00.300371,205.939746885191,0.07645219875108047,200.52852872420658,4.5831965207886585,COMPLETE
14,0.7089257991802957,2025-11-15 16:46:16.809252,2025-11-15 16:46:17.100542,0 days 00:00:00.291290,152.4167281826132,0.09508539804698861,237.54740432498778,3.5861788282491993,COMPLETE
15,0.6850771374769499,2025-11-15 16:46:17.100654,2025-11-15 16:46:17.395275,0 days 00:00:00.294621,232.57177347120074,0.09636791641846307,329.0680437057068,3.550484966412648,COMPLETE
16,0.6760006413349224,2025-11-15 16:46:17.395392,2025-11-15 16:46:17.693794,0 days 00:00:00.298402,205.56464043772098,0.0889185798149045,225.6068583610641,3.9459856977889647,COMPLETE
17,0.7127955434183705,2025-11-15 16:46:17.693912,2025-11-15 16:46:17.984787,0 days 00:00:00.290875,157.77402109944796,0.08669819156694755,277.6620234814631,2.4180351224776917,COMPLETE
18,0.69231564828139,2025-11-15 16:46:17.984898,2025-11-15 16:46:18.284014,0 days 00:00:00.299116,211.4279998116888,0.10475793513844284,319.38991800318786,3.473774664801889,COMPLETE
19,0.7212604081200811,2025-11-15 16:46:18.284132,2025-11-15 16:46:18.576033,0 days 00:00:00.291901,165.90540346126053,0.07493027276354854,360.9150410289716,4.20836355836392,COMPLETE
20,0.6785323079057971,2025-11-15 16:46:18.576154,2025-11-15 16:46:18.864879,0 days 00:00:00.288725,199.12551426555203,0.09096225506556802,224.6753038799846,3.7754057625918263,COMPLETE
21,0.663145158519792,2025-11-15 16:46:18.865001,2025-11-15 16:46:19.161744,0 days 00:00:00.296743,232.76476591167986,0.0808973004290519,203.63022376622064,3.370953880804879,COMPLETE
