Time,Team 1,Score 1,Team 2,Score 2,Outcome Only,Tournament,Number of Players
9/19/2023 19:10:00,Red for Filth (F23),1,Limoncellhoes (F23),5,,,8
9/19/2023 19:30:00,Booooo Bs (F23),2,Coochie Monsters (F23),3,,,8
9/19/2023 19:30:00,Gay Grimaces (F23),2,Red for Filth (F23),2,,,8
9/19/2023 19:50:00,Booooo Bs (F23),4,Limoncellhoes (F23),0,,,8
9/19/2023 19:50:00,The Grey Agenda (F23),1,Coochie Monsters (F23),3,,,8
9/26/2023 19:10:00,Gay Grimaces (F23),0,Booooo Bs (F23),6,,,8
9/26/2023 19:10:00,The Grey Agenda (F23),3,Red for Filth (F23),2,,,8
9/26/2023 19:30:00,Gay Grimaces (F23),0,Coochie Monsters (F23),5,,,8
9/26/2023 19:30:00,Limoncellhoes (F23),2,The Grey Agenda (F23),1,,,8
9/26/2023 19:50:00,Booooo Bs (F23),3,Red for Filth (F23),2,,,8
9/26/2023 19:50:00,Coochie Monsters (F23),3,Limoncellhoes (F23),3,,,8
10/3/2023 19:10:00,Limoncellhoes (F23),1,Gay Grimaces (F23),3,,,8
10/3/2023 19:10:00,Red for Filth (F23),2,Coochie Monsters (F23),2,,,8
10/3/2023 19:30:00,Coochie Monsters (F23),5,The Grey Agenda (F23),0,,,8
10/3/2023 19:30:00,Limoncellhoes (F23),2,Booooo Bs (F23),2,,,8
10/3/2023 19:50:00,Booooo Bs (F23),4,The Grey Agenda (F23),0,,,8
10/3/2023 19:50:00,Red for Filth (F23),1,Gay Grimaces (F23),3,,,8
10/10/2023 19:10:00,Coochie Monsters (F23),4,Gay Grimaces (F23),0,,,8
10/10/2023 19:10:00,The Grey Agenda (F23),1,Limoncellhoes (F23),3,,,8
10/10/2023 19:30:00,Booooo Bs (F23),0,Coochie Monsters (F23),4,,,8
10/10/2023 19:30:00,Limoncellhoes (F23),4,Red for Filth (F23),2,,,8
10/10/2023 19:50:00,Gay Grimaces (F23),1,The Grey Agenda (F23),3,,,8
10/10/2023 19:50:00,Red for Filth (F23),0,Booooo Bs (F23),3,,,8
10/17/2023 19:10:00,Booooo Bs (F23),1,Gay Grimaces (F23),3,,,8
10/17/2023 19:10:00,Red for Filth (F23),1,The Grey Agenda (F23),4,,,8
10/17/2023 19:30:00,Coochie Monsters (F23),3,Red for Filth (F23),1,,,8
10/17/2023 19:30:00,Gay Grimaces (F23),2,Limoncellhoes (F23),1,,,8
10/17/2023 19:50:00,Limoncellhoes (F23),2,Coochie Monsters (F23),3,,,8
10/17/2023 19:50:00,The Grey Agenda (F23),0,Booooo Bs (F23),6,,,8
10/24/2023 19:10:00,Limoncellhoes (F23),1,Booooo Bs (F23),4,,,8
10/24/2023 19:10:00,The Grey Agenda (F23),4,Gay Grimaces (F23),1,,,8
10/24/2023 19:30:00,Coochie Monsters (F23),3,Booooo Bs (F23),2,,,8
10/24/2023 19:30:00,Red for Filth (F23),2,Limoncellhoes (F23),3,,,8
10/24/2023 19:50:00,Coochie Monsters (F23),3,The Grey Agenda (F23),2,,,8
10/24/2023 19:50:00,Gay Grimaces (F23),3,Red for Filth (F23),1,,,8
11/7/2023 19:10:00,Gay Grimaces (F23),4,The Grey Agenda (F23),3,,1,8
11/7/2023 19:10:00,Limoncellhoes (F23),5,Red for Filth (F23),1,,1,8
11/7/2023 19:30:00,Booooo Bs (F23),1,Limoncellhoes (F23),3,,1,8
11/7/2023 19:30:00,Coochie Monsters (F23),1,Gay Grimaces (F23),2,,1,8
11/7/2023 19:50:00,Gay Grimaces (F23),2,Limoncellhoes (F23),4,,1,8
1/31/2024 20:30:00,Naughty Nympho Navy (W24),2,Green Beans (W24),3,,,8
1/31/2024 20:50:00,H2-Ho (W24),3,Mommy’s DisappointMints (W24),1,,,8
1/31/2024 20:50:00,Stupid Cupids (W24),4,The Orangynas (W24),1,,,8
1/31/2024 21:10:00,"Be Gay, Do Lime (W24)",5,blU-Haul (W24),2,,,8
1/31/2024 21:10:00,Flint Flickers (W24),3,Violent Violets (W24),4,,,8
2/7/2024 19:50:00,"Be Gay, Do Lime (W24)",1,Stupid Cupids (W24),4,,,8
2/7/2024 19:50:00,Naughty Nympho Navy (W24),3,H2-Ho (W24),4,,,8
2/7/2024 20:10:00,Green Beans (W24),3,Flint Flickers (W24),3,,,8
2/7/2024 20:10:00,The Orangynas (W24),4,Violent Violets (W24),2,,,8
2/7/2024 20:30:00,Mommy’s DisappointMints (W24),4,Naughty Nympho Navy (W24),3,,,8
2/7/2024 20:30:00,Stupid Cupids (W24),1,blU-Haul (W24),3,,,8
2/7/2024 20:50:00,The Orangynas (W24),2,Green Beans (W24),3,,,8
2/7/2024 20:50:00,Violent Violets (W24),6,"Be Gay, Do Lime (W24)",2,,,8
2/7/2024 21:10:00,blU-Haul (W24),1,H2-Ho (W24),4,,,8
2/7/2024 21:10:00,Flint Flickers (W24),4,Mommy’s DisappointMints (W24),3,,,8
2/14/2024 19:50:00,Flint Flickers (W24),4,Naughty Nympho Navy (W24),2,,,8
2/14/2024 19:50:00,Stupid Cupids (W24),4,Green Beans (W24),1,,,8
2/14/2024 20:10:00,"Be Gay, Do Lime (W24)",2,Mommy’s DisappointMints (W24),3,,,8
2/14/2024 20:10:00,The Orangynas (W24),1,H2-Ho (W24),4,,,8
2/14/2024 20:30:00,blU-Haul (W24),2,Naughty Nympho Navy (W24),2,,,8
2/14/2024 20:30:00,Violent Violets (W24),4,Stupid Cupids (W24),2,,,8
2/14/2024 20:50:00,Green Beans (W24),3,"Be Gay, Do Lime (W24)",3,,,8
2/14/2024 20:50:00,H2-Ho (W24),7,Flint Flickers (W24),2,,,8
2/14/2024 21:10:00,Mommy’s DisappointMints (W24),4,The Orangynas (W24),2,,,8
