file_type,filename,season,suffix
game,Schedule ｜ Big Apple Dodgeball - Sunday ｜ Spring 2025 - WTNB＋ Draft_ ｜ LeagueLobster (11_11_2025 10：42：53 PM).html,Spring 2025,(S25)
game,Schedule ｜ Big Apple Dodgeball - Sunday ｜ WTNB＋ - Fall 2025_ ｜ LeagueLobster (11_28_2025 11：12：44 AM).html,Fall 2025,(F25)
game,Schedule ｜ Big Apple Dodgeball - Sunday ｜ WTNB＋ Draft - Winter 2025_ ｜ LeagueLobster (11_11_2025 6：35：23 PM).html,Winter 2025,(W25)
game,Schedule ｜ Big Apple Dodgeball - Sunday ｜ Winter 2026 - WTNB＋ Draft_ ｜ LeagueLobster (3_28_2026 2：24：35 PM).html,Winter 2026,(W26)
game,Schedule ｜ Big Apple Dodgeball - Wednesday ｜ Big Apple Dodgeball - Wednesday - Winter 2026_ ｜ LeagueLobster (3_28_2026 2：20：32 PM).html,Winter 2026,(W26)
game,Schedule ｜ Big Apple Dodgeball - Wednesday ｜ Fall 2025_ ｜ LeagueLobster (12_9_2025 11：29：38 AM).html,Fall 2025,(F25)
game,Schedule ｜ Big Apple Dodgeball - Wednesday ｜ Spring 2025_ ｜ LeagueLobster (11_11_2025 10：42：54 PM).html,Spring 2025,(S25)
game,Schedule ｜ Big Apple Dodgeball - Wednesday ｜ Summer 2024_ ｜ LeagueLobster (11_11_2025 6：34：52 PM).html,Summer 2024,(Su24)
game,Schedule ｜ Big Apple Dodgeball - Wednesday ｜ WTNB Small Ball Fall 2024_ ｜ LeagueLobster (11_11_2025 6：34：54 PM).html,Fall 2024,(F24)
game,Schedule ｜ Big Apple Dodgeball - Wednesday ｜ WTNB Small Ball- Spring 2024_ ｜ LeagueLobster (11_11_2025 6：35：26 PM).html,Spring 2024,(S24)
game,Schedule ｜ Big Apple Dodgeball - Wednesday ｜ WTNB＋ Social - Winter 2025_ ｜ LeagueLobster (11_11_2025 6：34：52 PM).html,Winter 2025,(W25)
team,And They Were Broomates ｜ League and Tournament Scheduler by LeagueLobster (10_23_2025 1：12：21 PM).html,Fall 2025,(F25)
team,Articuno ｜ League and Tournament Scheduler by LeagueLobster (10_12_2025 6：32：00 PM).html,Fall 2025,(F25)
team,Big Dyker Energy ｜ League and Tournament Scheduler by LeagueLobster (3_28_2026 2：25：49 PM).html,Winter 2026,(W26)
team,Blue-Footed Boobies ｜ League and Tournament Scheduler by LeagueLobster (3_28_2026 2：22：43 PM).html,Winter 2026,(W26)
team,Captain Munch.html,Summer 2025,(Su25)
team,Cardinal Sinners ｜ League and Tournament Scheduler by LeagueLobster (3_28_2026 2：23：23 PM).html,Winter 2026,(W26)
team,Carroll's Garden ｜ League and Tournament Scheduler by LeagueLobster (3_28_2026 2：25：00 PM).html,Winter 2026,(W26)
team,Charmander ｜ League and Tournament Scheduler by LeagueLobster (10_12_2025 6：32：04 PM).html,Fall 2025,(F25)
team,Cinnamint Toast Munch.html,Summer 2025,(Su25)
team,Count Von Cunt ｜ League and Tournament Scheduler by LeagueLobster (10_23_2025 1：12：16 PM).html,Fall 2025,(F25)
team,Crows Before Hoes ｜ League and Tournament Scheduler by LeagueLobster (3_28_2026 2：22：12 PM).html,Winter 2026,(W26)
team,Cubone ｜ League and Tournament Scheduler by LeagueLobster (10_12_2025 6：32：04 PM).html,Fall 2025,(F25)
team,Cummingbirds ｜ League and Tournament Scheduler by LeagueLobster (3_28_2026 2：23：11 PM).html,Winter 2026,(W26)
team,Cunt Dracula ｜ League and Tournament Scheduler by LeagueLobster (10_23_2025 1：12：21 PM).html,Fall 2025,(F25)
team,Dark Roast Doms.html,Summer 2025,(Su25)
team,Drill.html,Summer 2025,(Su25)
team,Dykeness Monsters ｜ League and Tournament Scheduler by LeagueLobster (10_23_2025 1：12：20 PM).html,Fall 2025,(F25)
team,Fat Bush ｜ League and Tournament Scheduler by LeagueLobster (3_28_2026 2：25：14 PM).html,Winter 2026,(W26)
team,Fearmint ｜ League and Tournament Scheduler by LeagueLobster (10_23_2025 1：12：20 PM).html,Fall 2025,(F25)
team,Ferociously Fruity Pebbles.html,Summer 2025,(Su25)
team,Flaminghoes ｜ League and Tournament Scheduler by LeagueLobster (3_28_2026 2：20：59 PM).html,Winter 2026,(W26)
team,Gay Birds ｜ League and Tournament Scheduler by LeagueLobster (3_28_2026 2：21：58 PM).html,Winter 2026,(W26)
team,GayTorade.html,Summer 2025,(Su25)
team,Gengar ｜ League and Tournament Scheduler by LeagueLobster (10_12_2025 6：32：04 PM).html,Fall 2025,(F25)
team,Ghouls Gone Wild ｜ League and Tournament Scheduler by LeagueLobster (10_23_2025 1：12：21 PM).html,Fall 2025,(F25)
team,Green Eggs and Sam.html,Summer 2025,(Su25)
