stint,coef_mean,coef_std
Red For Filth::2023,-1.081612,0.063097
Limoncellhoes::2023,0.094050,0.029975
The Grey Agenda::2023,0.147290,0.052516
Gay Grimaces::2023,0.215113,0.041350
Booooo Bs::2023,0.242628,0.033520
Coochie Monsters::2023,0.382531,0.038324
Naughty Nympho Navy::2024,-0.145871,0.066837
Green Beans::2024,0.019707,0.068602
H2-Ho::2024,0.216118,0.047243
Mommy’s DisappointMints::2024,0.063160,0.059614
Stupid Cupids::2024,-0.007250,0.029910
The Orangynas::2024,-0.180954,0.025807
"Be Gay, Do Lime::2024",-0.200153,0.038109
blU-Haul::2024,-0.115873,0.041979
Flint Flickers::2024,0.218959,0.039994
Violent Violets::2024,0.132157,0.037706
Blue is the Warmest Dodgeball::2024,-0.210130,0.089335
Blue-Footed Boobies::2024,-0.127357,0.044501
Red Dyke District::2024,-0.002541,0.055418
Glacial Gushers::2024,0.115428,0.054114
Inti-MINT-cy issues::2024,0.311295,0.054186
Let's Have a Kiwi::2024,-0.051600,0.095805
Purple Pounders::2024,-0.009086,0.059575
Honey Nut Queerios::2024,0.154968,0.063098
Bubblegum Bitches::2024,-0.082441,0.068210
Lemon Drop Thots::2024,-0.098537,0.061225
bratz::2024,-0.159561,0.038711
Royal Pain in the Ice::2024,0.043295,0.006398
GAYtors::2024,0.009338,0.032337
Big Eggplant Energy::2024,-0.111230,0.039287
Ice To Go::2024,-0.176869,0.026937
Midnight Snack::2024,-0.094809,0.054172
Red For Filth::2024,0.942640,0.052589
Idina Mintzels::2024,-0.249756,0.029180
S*xual Tealing::2024,0.005803,0.042756
Citrus on My Face::2024,-0.090679,0.024686
C*Mquats::2024,-0.034481,0.023868
the dodgefathers::2024,-0.083691,0.031266
Clementops::2024,-0.026073,0.055349
Froggays::2024,0.014618,0.012926
The Blue Ballers::2024,-0.049447,0.067244
Urine Trouble::2024,-0.063934,0.051135
Naughty Hotties::2024,0.202801,0.017081
Twerkoise::2024,0.160941,0.029082
Queermint::2024,0.158952,0.076358
Lime and Punishment::2024,-0.166243,0.079308
Winona Ride Her::2024,0.033055,0.052284
Violetly Gay::2024,-0.036782,0.041147
Wet Dreams::2024,-0.039651,0.026007
Cardinal Sinners::2024,-0.188236,0.072845
Cuntolina Panthers::2024,0.169237,0.048506
