Team,Games,Wins
Stud Finder,12,11
Loose Screw,11,6
Tool Belt,10,8
Drill,9,2
Gay Grimaces,8,3
H2-Ho,8,7
bratz,8,1
Big Eggplant Energy,8,1
Queermint,8,5
QTs,8,5
PATH to Poundtown,8,6
Green Eggs and Sam,8,4
Yolked & Choked,8,4
Substantial Women,8,5
Booooo Bs,7,3
Limoncellhoes,7,3
Coochie Monsters,7,5
Idina Mintzels,7,2
GAYtors,7,2
S*xual Tealing,7,2
C*Mquats,7,3
Midnight Snack,7,4
Royal Pain in the Ice,7,5
Violetly Gay,7,3
Cuntolina Panthers,7,5
2 Girls 1 Train,7,4
Dark Roast Doms,7,3
Red for Filth,6,0
The Grey Agenda,6,2
Naughty Nympho Navy,6,0
"Be Gay, Do Lime",6,2
Mommy’s DisappointMints,6,5
Blue is the Warmest Dodgeball,6,1
Red Dyke District,6,2
Inti-MINT-cy issues,6,6
Purple Pounders,6,4
Blue-Footed Boobies,6,3
Bubblegum Bitches,6,0
Glacial Gushers,6,2
Let's Have a Kiwi,6,1
Lemon Drop Thots,6,2
Honey Nut Queerios,6,5
the dodgefathers,6,2
Ice To Go,6,1
Red For Filth,6,3
Citrus on My Face,6,1
Cardinal Sinners,6,3
Naughty Hotties,6,6
Winona Ride Her,6,3
Twerkoise,6,4
Mean Gay Packers,6,4
Froggays,6,3
Wet Dreams,6,3
Vikinks,6,3
Gay Sharks,6,1
Big D (train) Energy,6,3
Reese's Pieces,6,0
My Chemical Throwmance,6,5
Purple Pain,6,4
Charcoochie,6,3
Ice Dykes,6,4
Call Me Navy,6,1
It's the cLIME,6,0
Dyke Dynasty,6,2
Red Light District,6,1
Macaroni in a Pot,6,1
Pulp Friction,6,4
Sixual Tension,6,4
Mary Wannas,6,1
Buns of Teal,6,3
Gaydes,6,5
Thunder Cunts,6,5
Aphrodisiacs,6,1
ur mom,6,4
DioNasties,6,3
Serving Cunt(ress),6,1
Purple P***y Eaters,6,3
Cinnamint Toast Munch,6,4
Captain Munch,6,3
Jolly Green Gays,6,3
Sticky Fingers,6,5
Stupid Cupids,5,2
Flint Flickers,5,4
The Orangynas,5,1
Violent Violets,5,4
Clementops,5,3
The Blue Ballers,5,2
Urine Trouble,5,1
Edgar Allen Hoes,5,1
Washington Formanders,5,1
Lime and Punishment,5,1
Citrus Got Real,5,2
U-Haul Red-y,5,3
Winner Mintality,5,3
GayTorade,5,0
The Bloody Marys,5,0
Ferociously Fruity Pebbles,5,0
Cubone,5,1
Green Beans,4,0
blU-Haul,4,0
Hoedrangeas,4,1
Carrot Tops,4,1
Pop-Off-y Seeds,4,2
Lavender Menaces,4,2
The Garden Hoes,4,1
Extra Virgin Olive Oil,4,2
Gengar,4,3
Lickitung,4,0
Charmander,4,3
Clit Bait Charity,4,3
Gridlock Charity,4,2
Wetness Protection Program,4,4
Dandy Lions,3,2
Snowmosexuals,3,2
Pink Peony Club,3,2
Better Late Than Never,3,2
Sizzorhood,3,2
The Fantastic Flore,3,1
Articuno,3,0
Cunt Dracula,3,1
Howlsexuals,3,3
Mixed Bag,3,0
Service Tops,3,1
Empire Boston,2,2
Clit Bait Tourney,2,2
Peach Gobblers,2,1
Count Von Cunt,2,0
Dykeness Monsters,2,0
Fearmint,2,2
Ghouls Gone Wild,2,0
Yeti Set Go,2,1
Itty Bitty Char(titty) Committee,2,1
Gridlock Boston,1,0
Big Apple Bottoms,1,0
Gridlock Nola,1,0
And They Were Broomates,1,0
Hump Her Stiltskin,1,0
